,Title,Location,Company,Rating,Ownership,Industry,Sector,Salary,Description,min_salary,max_salary,avg_salary,Type_of_ownership,Python,Aws,Excel,Deep_learning,Macine_learning,Bachelors,Masters,Job_type,Job_simp,Seniority_simp,Industry_simp,Sectors_simp
43,Data Scientist,New Delhi,Terra Economics & Analytics Lab (TEAL),4.9,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹846K - ₹907K (Glassdoor Est.),"As a Data Scientist at TEAL, you'll be taking the plunge into a rich data lake that includes everything from satellite data to legal court orders. You'll be hustling and getting your hands dirty with every part of the data pipeline always having an implicit appreciation for how all of this data will ultimately power a revolutionary real estate risk platform.
Your day-to-day will include either all or some of the following:
Cleaning, organizing, and analyzing data
Analyzing data to model the land and property markets in India
Writing reports based on the insights revealed by the analysis
Engaging with stakeholders for platform improvement
Creating compelling data visualizations and communicating results
Constantly scoping out new data sources to complement existing ones
We'd love it if you:
Are proficient in Python or any other object-oriented language
Have worked with large (millions to hundreds of millions of rows in a SQL database) interdisciplinary datasets
Have scraped difficult websites and have some experience working with various data APIs
Are patient and methodical with unstructured and messy data
Are always hungry to learn newer and better technologies to make the data ecosystem faster, smoother and less silo-ed
Extra brownie points if you:
Have some experience working with large-scale data visualisations
Have performed real estate analyses in some capacity",846,907,876.5,Private,1,0,0,0,0,0,0,Other,Data Scientist,Other,Software,Information Technology
44,Data Scientist,Bangalore,Zauba Corp,3.8,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹180K - ₹900K (Glassdoor Est.),"Zauba Technologies is a startup based in Bangalore. Zauba's services are used by leading companies in India. Zauba is powered by a young and passionate team. We are looking for individuals who would like to be a part of our founding team.
As a Data Scientist and as a part of founding team, you will be expected to design and develop applications related to information retrieval, artificial intelligence, natural language processing and predictive modelling. Your rewards will be directly proportional to the value you generate.
Design and development of robust, scalable and highly efficient data engineering solutions for structured and unstructured data
Design and develop out-of-the-box solutions to solve complex data problems
Develop statistical models for various use cases
Develop processes for text mining and extraction of information from unstructured data
Design and implement data models that scale across the enterprise
Take ownership of existing data workflows and processes
Enhance scalability, performance, and stability of existing infrastructure
Work closely with other team members to integrate your innovations and algorithms into our production systems


Essentials
Java / R / Python - Intermediate to advanced level`
Regex - Advanced
SQL - Advanced
Apache Weka / Mahout or other similar tools - Intermediate to advanced level
Experience in Search Algorithms, Semantic Analysis, with good knowledge of Machine learning/Distributed System/Data Mining/NLP/Artificial Intelligence
Linux - Intermediate


Good to have
Hadoop/Spark
R
MongoDB


Must have qualities
Skills to learn new skills quickly
Desire to create disruptive products and services
Passion; not just to work in startups but to take them to next level
Above average programming aptitude
Be passionate about producing high quality engineering deliverables
Be productive working independently or collaboratively
Have an eye for building efficient processes
Be self motivated
Proactively take ownership

Interested?
Send your resume to hr@zaubacorp.com",180,900,540.0,Private,1,0,0,0,1,0,1,Other,Data Scientist,Other,Software,Information Technology
45,Data Scientist,Bangalore,Tookitaki,4.5,Company - Private,Enterprise Software & Network Solutions,Information Technology,"₹690K - ₹1,000K (Glassdoor Est.)","Data Science @ Tookitaki
The data science team is responsible for solving business problems with complex data. Data complexity could be characterized in terms of volume, dimensionality and multiple touchpoints/sources. We understand the data, ask fundamental-first-principle questions, apply our analytical and machine learning skills to solve the problem in the best way possible. We also encourage to participate in competitions like Kaggle.
Our ideal candidate
We are looking for a junior data scientist who has a deep interest in theoretical and applied machine learning and loves working in a fast-paced environment.
He/she should have 3-5 years’ work experience in predictive analytics/forecasting space and have solved real-world problems. Candidates with experience in transactional anomaly prediction, operational risk modelling would be given preference.
The role would be a client-facing one, hence good communication skills are a must. The candidate should have the ability to communicate complex models and analysis in a clear and precise manner. The candidate would be responsible for:
Comprehending business problems properly – what to predict, how to build DV, what value addition he/she is bringing to the client, etc.
Understanding and analyzing large, complex, multi-dimensional datasets and build features relevant for business.
Understanding the math behind algorithms and choosing one over another
Understanding approaches like stacking, ensemble and applying them correctly to increase accuracy
Desired technical requirements
Proficiency with Python and the ability to write production-ready codes. Experience in Scala would be a plus
Big data experience, e.g. familiarity with Spark, Hadoop, is highly preferred
Familiarity with SQL or other databases.
Desired Non-technical Requirements
Very strong communication skills both written and verbal
Strong desire to work with start-ups
Job Perks
Attractive variable compensation package
Opportunity to work with an award-winning organization in the hottest space in tech — artificial intelligence and advanced machine learning",690,1000,845.0,Private,1,0,0,0,1,0,1,Other,Data Scientist,Other,Software,Information Technology
46,Data Scientist | 6 to 9 years | Bengaluru,Bangalore,Capgemini,4.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹493K - ₹643K (Glassdoor Est.),,493,643,568.0,Private,0,0,0,0,0,0,0,Other,Data Scientist,Other,Software,Information Technology
47,Data Scientist,Other,AlpsLogic IT Solutions,4.0,,,,₹290K - ₹597K (Glassdoor Est.),"Skill requirements
Python
Other software - AWS, Tableau, Power BI, GCP, Azure data bricks, R, R shiny
Machine learning expert
NLP expert
Deep learning
Responsibilities:
Apply statistical techniques to find inferences/insights from data
Create machine learning models using various supervised & unsupervised algorithms
Quick POC & prototyping for various data science use cases
Data preprocessing & cleansing
Doing ad-hoc analysis and presenting results in a clear manner
Doing research on various ML topics & use cases
Building recommender system
Building various deep learning models
Minimum Qualifications:
3 – 5 years of relevant professional experience in an autonomous data analytics or data science role
PhD in computer science, mathematics, statistics, physics, computational finance, or a similar quantitative field (or relevant work experience)
Knowledge of statistics, computer science and machine learning
Strong programming skills in Python (highly preferred), R, and/or Scala
Strong proficiency with Pandas and Scikit-Learn
Experience with building distributed data pipelines using PySpark
Experience with several of the following concepts: decision trees, random forests, gradient boosting; linear regression; logistic regression; dimensionality reduction using PCA and clustering
Comfortable with general SDLC concepts and processes.
Excellent command over English language.
Job Type: Full-time
Schedule:
Day shift
Work Remotely:
No",290,597,443.5,Other Organization,1,1,1,1,1,0,1,Full-time,Data Scientist,Other,Other,Other
48,Data Scientist,Other,Aptus Health,3.4,,,,₹612K - ₹688K (Glassdoor Est.),"Skill requirements
Python
Other software - AWS, Tableau, Power BI, GCP, Azure data bricks, R, R shiny
Machine learning expert
NLP expert
Deep learning
Responsibilities:
Apply statistical techniques to find inferences/insights from data
Create machine learning models using various supervised & unsupervised algorithms
Quick POC & prototyping for various data science use cases
Data preprocessing & cleansing
Doing ad-hoc analysis and presenting results in a clear manner
Doing research on various ML topics & use cases
Building recommender system
Building various deep learning models
Minimum Qualifications:
3 – 5 years of relevant professional experience in an autonomous data analytics or data science role
PhD in computer science, mathematics, statistics, physics, computational finance, or a similar quantitative field (or relevant work experience)
Knowledge of statistics, computer science and machine learning
Strong programming skills in Python (highly preferred), R, and/or Scala
Strong proficiency with Pandas and Scikit-Learn
Experience with building distributed data pipelines using PySpark
Experience with several of the following concepts: decision trees, random forests, gradient boosting; linear regression; logistic regression; dimensionality reduction using PCA and clustering
Comfortable with general SDLC concepts and processes.
Excellent command over English language.
Job Type: Full-time
Schedule:
Day shift
Work Remotely:
No",612,688,650.0,Other Organization,1,1,1,1,1,0,1,Full-time,Data Scientist,Other,Other,Other
49,Data Scientist,Bangalore,Zeta,4.2,Company - Private,Internet,Information Technology,₹243K - ₹739K (Glassdoor Est.),"Role Overview

We are looking to hire a data scientist who will work with various cross-functional teams such as product, marketing, engineering, sales and customer success to develop and deliver data structures, statistical models, reports and deep-dive analysis that will provide actionable recommendations for Zeta’s businesses. We are looking for a problem solver with strong analytical and problem-solving skills who has a good understanding of statistics and machine learning, and able to work on projects from conceptualization to execution.

What is the Job like?

Work with a team of high performing data science professionals, and cross-functional business partners to identify business opportunities, optimize marketing campaigns, drive product road map or go to market strategy
Build automated data dashboards and visualizations to deliver business insights to the senior leadership team
Understand business problems and provide data-driven solutions for those problems
Develop statistical models and data-driven solutions to add lift to key performance metrics
Initiate and drive projects to completion with minimal guidance

Who should apply for this role?

- Bachelors or Master’s degree in a quantitative discipline - Statistics, Operations Research, Computer Science, Engineering, Economics etc
2-10 years of experience working in data science or business analytics role (we are hiring for multiple roles)
Experience working with large amounts of data using SQL, SAS, R or other statistical packages
Experience working in a Unix/Linux environment for automating processes with shell scripting
Experience programming in Python, Java or other programming languages
Experience in data dashboarding and visualization tool like Tableau, PowerBI or QuickSight
Experience in machine learning techniques like regression analysis, decision tree etc. a plus
About Zeta

Co-founded by Bhavin Turakhia (CEO) and Ramki Gaddipati (CTO), Zeta® is on a mission to make digital payments easy, inclusive and valuable for corporations, employees and merchants globally. Our products revolve around the key idea that spending and receiving money should be easy, fast, and trouble free.

Our business comprises:

1) Zeta® Banking - we are in the business of providing a full stack, cloud native, API-first neo-banking platform including a digital core and a payment engine for issuance of credit, debit and prepaid products that enable legacy banks and new age fintechs to launch modern retail and corporate fintech products.

2) Zeta Benefits - We started our business as an ‘employee benefits’ provider in India, with technology at the core of the offering. The Zeta BRS business today exists as a merged entity, with Sodexo, in India. On the global level, we are working with various Sodexo geographies as their technology partner, providing customisable suite of frontend and backend solutions for the BRS industry. We currently engage with Sodexo in Brazil, Vietnam and The Philippines; and are continuously expanding to more countries.

3) Enterprise Payments - Our enterprise payments solution helps financial institutions simplify payment flows using full stack, cloud native, API-first technology. From reward and recognition programs to gifting to expense management, we aim to make all enterprise payments hassle free while delivering a tangible business impact to the end user.

Zeta currently provides its platform and products to BFSI issuers in India, Asia, and LATAM. The product offerings are used by banks like RBL Bank, IDFC First Bank and Kotak Mahindra Bank, 14000 corporates and over 2 million users. Zeta is a SOC 2, ISO 27001, ISO 9008, PCI DSS certified company. The company has over 500 employees and clocks over 1 million transactions per day.
Zeta® was awarded the best B2B platform and the best Payment App at the Payments and Cards Summit 2018. The company was also recognised as one of India’s most innovative product companies at NASSCOM Emerge 50 awards 2017 and was named the Fintech Rising Star for 2017 by the India FinTech forum.",243,739,491.0,Private,1,0,0,0,1,1,1,Other,Data Scientist,Other,Internet,Information Technology
50,Data Scientist,Bangalore,Kaplan,3.4,Subsidiary or Business Segment,Education Training Service,Education,₹360K - ₹730K (Glassdoor Est.),"Job Title
Data Scientist
Job Description
Data Scientist (KHE India)
Do you have a passion for using your skills to develop innovative technologies ? Are you interested in working on a team of professionals at a globally respected education organization and using your talents for building solutions that help thousands of students achieve success ? If so, join us and take your career to the next level. We are building a team of talented individuals to work on innovative products for education.
The Data Scientist role is a creative problem solver who utilizes statistical/mathematical principles and modeling skills to uncover new insights that will significantly and meaningfully impact business decisions and actions. She/he applies their data science expertise in identifying, defining and executing state-of-art techniques for academic opportunities and business objectives in collaboration with other Analytics team members and Strategic Business Partners. The Data Scientist will execute analyses & outputs spanning predictive analytics, multivariate analysis, data/text mining, pattern recognition, artificial intelligence and machine learning.
Successful candidates will have good communication and presentation skills, critical thinking skills, and the ability to break down complex problems. Quick learners are preferred over many years of experience, and associates who aspire to make a difference over those who aim to just fill orders.
Key Responsibilities:
Perform the full range of predictive/advanced analytics and data science methodologies, techniques and outputs associated with the area of expertise
Extract, manipulate, analyze & interpret data from various corporate data sources developing advanced analytic solutions, deriving key observations, findings, insights, and formulating actionable recommendations
Generate clearly understood and intuitive data science / advanced analytics outputs
Participate in best practice sharing and communication platform for advancement of the data science discipline
Comply with established Service Level Agreements to ensure timely, high quality deliverables with value-add recommendations, clearly articulated key findings and observations
Collaborate and help other data scientists
Present impact, insights, outcomes & recommendations to key business partners and stakeholders.
Other duties as assigned.
Qualifications:
Bachelor's Degree (B.A./B.S.) or Master’s Degree (M.A./M.S.) in Computer Science, Statistics, Mathematics, Machine Learning, Physics, or similar degree
2-5 years of experience in advanced & predictive analytics discipline in a digitally advanced industry focusing on strategic initiatives, marketing and/or operations
Advanced knowledge of best-in-class analytic software tools and languages: Python, SQL, R, SAS, Tableau, Excel etc.
Expertise in statistical methods, statistical analysis, data visualization, and data mining techniques.
Advanced proficiency in SQL, Excel (advanced functions & pivots), and Powerpoint.
Knowledge of best-in-class technology ""big data"" platforms and cloud based technology is a plus.
Strong Critical thinking skills to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems
Experience in partnering with IT, marketing operations & business operations to deploy predictive analytic solutions
Ability to translate/communicate complex analytical/statistical/mathematical concepts with non-technical audience
Strong written and verbal communications skills, as well as presentation skills
Location
Bangalore, KA, India
Additional Locations
Employee Type
Employee
Job Functional Area
Data Science & Analytics
Kaplan is an Equal Opportunity Employer",360,730,545.0,Other Organization,1,0,1,0,1,1,1,Other,Data Scientist,Other,Service,Other
51,Data Scientist,Bangalore,Shell,4.1,Subsidiary or Business Segment,Education Training Service,Education,₹288K - ₹708K (Glassdoor Est.),,288,708,498.0,Other Organization,0,0,0,0,0,0,0,Other,Data Scientist,Other,Service,Other
52,Data Analyst,Other,Spice Money,4.7,Company - Private,Financial Transaction Processing,Finance,₹300K - ₹383K (Glassdoor Est.),"At Spice Money, we are about fun as much as we are about work. Being part of one of India’s biggest conglomerate, Spice Group, We have always known that only happy & motivated employees create great companies.Though great attention is focused on work, we ensure that employees enjoy their fair share of fun and frolic. Cultural events, sports and adventure activities, and a host of other initiatives are a part and parcel of life here.
We celebrate all festivals with great excitement & various onsite events /training etc. are organized from time to time. Latent talents are discovered at these meets and individuals and teams are given an equal opportunity to showcase and bring out their creative side.We have a dedicated club known as the ""Fun Committee"" that conducts various activities. The club is chaired and managed by the employees themselves & they have the power to decide what activities, event, etc. suit them best.

Data Analyst (Location: Mohali)
Qualification required: B.Tech / MCA
Experience required: 3 - 4 years
Create and develop reports, support in ETL process for the reports.
Exposure to Google BigQuery, Java, R Shiny, Tableau, Google Compute, Tableau, Python/ R, machine learning, dashboarding would be required.
Email us at human.resource@spicemoney.com

Growth
We are growing at a phenomenal
pace, grow with
us.
Benefits
We offer the best pay practices in the industry, great benefits and a safe working environment.
Training
Everyone is encouraged to avail the training sessions, to help enhance their personal and professional growth.
Family
We treat each other as family - we nurture, listen and help each other reach our true potential.
Committed
We are committed to the growth of
our employees, agents and
customers.",300,383,341.5,Private,1,0,0,0,1,0,1,Internship,Analyst,Other,Other,Finance
53,"Manager, Data Science",Other,Aera Technology,3.7,Company - Private,Financial Transaction Processing,Finance,₹480K - ₹853K (Glassdoor Est.),,480,853,666.5,Private,0,0,0,0,0,0,0,Other,Data Scientist,Other,Other,Finance
54,Data Scientist,Hyderabad,Fanatics Inc.,3.6,Company - Private,Internet,Information Technology,₹474K - ₹725K (Glassdoor Est.),"Company Overview

Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.

About the Team

Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.

Data Scientist

At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies. We firmly believe in putting data at the forefront of delivering an engaging experience for our sports fans!
Fanatics Inc. is looking for highly motivated individuals to join our Data Science and Engineering team. You will collaborate closely with other, engineering, PMs, cross-functional business units to address challenging problems using techniques from applied statistics, machine learning and/or data mining fields.
What You'll Be Doing :
Build, deploy, and maintain predictive models in one or more of the following areas:
Search, Product Ranking, Learning-to-Rank, Recommendations Systems, NLP
CRM/Email and eMarketing optimization
Price and promotion optimization
Dive into complex data sets to analyze trends and identify opportunities for improvement.
Collaborate cross-functionally with diverse teams (e.g. marketing operations, technology, merchandising, procurement, apparel design/production) to understand business objectives and design and implement data-driven solutions
What We're Looking For :
Must have excellent academic and conceptual knowledge on data science, machine learning, statistics or AI
2+ years Experience developing machine learning and statistical models for solving real-world problems.
Strong algorithmic thinking and passion for empirical research to answer hard questions.
Ability to communicate complex quantitative analysis, analytic approaches and findings in a clear, precise, and actionable manner.
Working knowledge of big data processing technologies such as Hadoop, Hive, Pig and Spark.
Ability to use SQL to perform data analysis.
Have a BS/MS/PhD in Statistics, Applied Math, Operational Research, Computer Science or related field.
Tryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.

Ensure your Fanatics job offer is legitimate and don’t fall victim to fraud. Fanatics never seeks payment from job applicants. Fanatics recruiters will only reach out to applicants from an @fanatics.com or @fanatics.co.uk email address. For added security, where possible, apply through our company website at www.fanaticsinc.com/careers",474,725,599.5,Private,0,0,1,0,1,0,1,Other,Data Scientist,Other,Internet,Information Technology
55,Senior Big Data Engineer (Data Science/ML),Pune,Integral Ad Science,3.5,Company - Private,Internet,Information Technology,₹683K - ₹981K (Glassdoor Est.),"Vista Equity Partners is the world's leading private equity firm for Enterprise Software and recently invested $1.5B in the Reliance Jio Digital Platform. As part of the Vista portfolio, Integral Ad Science (IAS) is a NYC-headquartered global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry. We are looking for a Senior Big Data Engineer (Data Science/ML) to join our new and fast-growing Engineering team in Pune. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!

As a Senior Big Data Engineer (Data Science/ML) you will build and expand upon the testing framework and testing infrastructure of IAS' core ad verification, analytics and anti ad fraud software products.

What you'll get to do:
Planning delivery of data pipelines and API endpoints for IAS (Integral Ad Science) product offerings
Architect and build data pipelines and data stores specialized for data science needs
Design architecture to streamline data science processes
Design and implement systems for large-scale data analysis and machine learning
Build tools and frameworks for use across the data science and data engineering teams
Define and implement best practices and development processes
Partner with engineering teams on deployments of data science driven solutions
Participate in training and mentoring of data engineers
You should apply if you have most of this experience:
5+ years of experience designing and building data-intensive applications
5+ years of recent hands-on in object oriented language (Java, Scala, Python)
2+ years of recent experience developing data pipelines in AWS or Google Cloud
Data Science/Machine Learning
Big Data frameworks (e.g., Hadoop, Spark) and MPP databases (e.g., RedShift, Vertica, Snowflake) for complex data assembly and transformation
Collections, multi-threading, JVM memory model, etc.
Algorithms and data structures
What puts you over the top:
In-depth understanding of algorithms, scalability and various tradeoffs in a Big Data setting
Knowledge of database technology, SQL, schema design and query optimization techniques
Experience of designing for performance, scalability, and reliability
Digital advertising or web technology experience
Experience working with Apache Airflow
Experience implementing machine learning algorithms
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice:

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.

To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN

Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership.",683,981,832.0,Private,1,1,0,1,1,0,1,Internship,Data Scientist,Senior,Internet,Information Technology
56,Data Scientist,Pune,Affine Analytics,3.8,Company - Private,Internet,Information Technology,₹723K - ₹816K (Glassdoor Est.),,723,816,769.5,Private,0,0,0,0,0,0,0,Other,Data Scientist,Other,Internet,Information Technology
57,Data Scientist,Hyderabad,MRoads,4.2,Private Practice / Firm,Enterprise Software & Network Solutions,Information Technology,₹300K - ₹809K (Glassdoor Est.),"What we are looking for
We are looking for data scientists to be based in Hyderabad, India with 3-5 years of experience in statistical modeling and data science.

Years of Experience: 3-5 Years

Location: Hyderabad, Telangana, INDIA
Mandatory Skills - Python, Machine Learning and Deep Learning Algorithms, NLP, SQL, Basic CS Fundamentals
Preferred Skills - AWS, AWS-ML tools, NoSQL DB, Computer Vision
Responsibilities Include
As part of the Data Science team, work on creating opportunities to improve company operations for speed and efficiency.
Collaborate with different teams, engineers, program managers, analysts to define the right analytical framework and identify improvement opportunities
Design, experiment, and scale data-driven solutions
Take initiative and recommend improvements to existing software architecture
Design and develop solutions across the enterprise
Create and maintain bug-free code, Unit tests, Integration tests
Code reviews and testing
Your Expertise
Senior-level experience working with Python, AI, ML, DL, and model training
Data analysis and structuring experience is preferred
Deploy and monitor data science solutions
Strong experience in building NLP and deep learning applications
Knowledge of SQL and NoSQL databases; experience in working with GitHub
Ability to work independently and multi-task effectively
Good understanding of AWS or other cloud platforms
Experience in AWS-machine learning tools like sagemaker, Rekognition, Translate is plus


Basic Qualifications
Bachelors or Masters in Computer Science, Operational Research, Statistics or related quantitative field
3-5 years of hands-on experience in data-driven analytics and statistical modeling in Python, R, or a similar platform
Proficiency in model development
Strong CS fundamentals in data structures, problem-solving, algorithm design, and complexity analysis
Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts
LOCATION
Hyderabad, TS
JOB TYPE
Full Time
POSTED DATE
11/25/2020",300,809,554.5,Private,1,1,0,1,1,1,1,Full-time,Data Scientist,Other,Software,Information Technology
58,Staff Data Scientist,Bangalore,Infoblox,4.2,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹371K - ₹980K (Glassdoor Est.),"Infoblox is seeking a Staff Data Scientist for the Cybersecurity team in Bangalore. In this role, we are looking for professionals who are well versed in scalable data mining, machine learning techniques, and love to build analytics models. The successful candidate enjoys working in a fast-paced, geographically diverse, multidisciplinary environment. This team designs and builds complex models that learn from Infoblox networks and DNS data to provide security solutions. This role reports to Manager, Data Science-based in Tacoma, WA.

Joining our team in Bangalore, India, will be an opportunity to grow your career in data science, innovate, and contribute thought leadership. You will have the chance to work with experts in next-generation technology and help drive the project and product portfolio to achieve departmental and corporate goals.

Responsibilities:
Apply data mining and machine learning techniques for a variety of modeling problems involving DNS and networking data
Build complex statistical models that learn from and scale to petabytes of data
Develop deployment architecture and scripts for automated system deployment in AWS
Create software to extract, clean and manipulate large datasets both structured and unstructured
Construct data staging layers and fast real-time systems to feed machine learning algorithms
Work with architects and product managers to develop efficient and reliable algorithms
Work collaboratively across multi-disciplinary teams throughout the company as a subject matter expert in analytics with a focus on security solutions and implementation
Requirements:
10+ years of experience with 2+ years in a practical Machine Learning experience with demonstrated experience in feature engineering and data analysis
4+ years of experience in analytic design and implementation
4+ years experience in Big Data with Spark/Hadoop tech stack
4+ years in the hands-on analytic environment, with the ability to articulate analytic needs and translate them into research and development requirements
Demonstrated ability to quickly learn new tools and paradigms to deploy cutting-edge solutions.
Expertise in automating and deploying models in production systems
Familiar with best practices for engineering in an enterprise environment
Proficient in Python, with specific expertise in Python’s data science and machine learning libraries
Strong written and spoken communication skills
Experience with Amazon Web Services
Experience with one or more of, Keras, and TensorFlow
Proficiency in Java or Scala, particularly in a big data spark/hadoop environment
Expertise in streaming analytics frameworks such as Apache Spark, Storm, MOA and WekA
Knowledge of Hadoop architecture, HDFS, Map-Reduce Algorithms and Elastic Search
Network security background, familiarity with botnets, DDoS, and other threat types
Education:
Masters or Ph.D. in Computer Science, Mathematics, CE, EE or related
It’s an exciting time to be at Infoblox. We are the market leader in technology for network control. Our success depends on bright, energetic, talented people who share a passion for excellence in building the next generation of networking technologies—and having fun along the way. Infoblox offers a fast-paced, action-oriented environment. We promote a culture that embraces innovation, change, teamwork, and strong partnerships. Join the winning Infoblox team—our future looks bright, and so will yours. To check out what it’s like to be a Bloxer click here.

#LI-NY1
Apply Now: click Apply Now",371,980,675.5,Private,1,1,1,0,1,0,1,Other,Data Scientist,Other,Software,Information Technology
59,Data Scientist,Bangalore,Cloutechnologies Software Pvt Ltd,4.2,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹300K - ₹800K (Glassdoor Est.),,300,800,550.0,Private,0,0,0,0,0,0,0,Other,Data Scientist,Other,Software,Information Technology
60,Data Analyst,Other,Safaltek,3.6,Company - Private,IT Service,Information Technology,₹204K - ₹483K (Glassdoor Est.),"Data Analyst Apply Job
Years of Experience: Minimum 2 to 3 Years
Location: Safaltek Software Pvt. Ltd. – Sec-67, Netsmartz Square, Mohali Refer Friend
Skill Sets: Python/R, Matplotlib, Seaborn, Excel, Tableau, Sisense, Data Visualization, Pandas, SQL, MongoDB, Data Cleaning & Data Munging, Dashboard designs, Analytics, Data Summary, DBMS.
Responsibilities:
Handling large dataset.
Data Preprocessing.
Generate Analytics report of Data.",204,483,343.5,Private,1,0,1,1,0,0,1,Other,Analyst,Other,Service,Information Technology
61,Data Scientist,Other,HR Devi and Associates,4.0,Company - Private,,,₹499K - ₹925K (Glassdoor Est.),"Data Scientist
Thiruvananthapuram


The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. He should be someone who will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Looking for people with skills on automate scoring using machine learning techniques”, “build recommendation systems”, “improve and extend the features used by our existing classifier”, “develop internal A/B testing procedures”, “build system for automated fraud detection”, etc.
Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Enhancing data collection procedures to include information that is relevant for building analytic systems

Processing, cleansing, and verifying the integrity of data used for analysis

Doing ad-hoc analysis and presenting results in a clear manner

Creating automated anomaly detection systems and constant tracking of its performance

Become a domain and product expert

Skills and Qualifications
Experience
4 - 10 Years

Salary
10 Lac To 35 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
Professional Degree

Key Skills
Data Scientist


About Company
Company Name
HRDevi Talent Acquisition


About Company
They are focused on incubating to accelerate the first mile and guiding the journey to the last mile. They are seeded with Investor funds and more than 100 years of innovation and delivery leadership excellence in Fortune 100 and startups. We create and grow IT solution companies with $100M – $1B+ market valuation potential.

Email ID
swati5547@gmail.com",499,925,712.0,Private,0,0,1,0,1,0,1,Internship,Data Scientist,Other,Other,Other
62,Data Analyst - Product,Other,Saavn,4.4,Company - Public,Consulting,Business Services,₹300K - ₹631K (Glassdoor Est.),,300,631,465.5,Public,0,0,0,0,0,0,0,Other,Analyst,Other,Consulting,Services
